PID	Dur	Errors
1	113	0
2	108	0
3	224	1
4	113	0
5	108	0
6	108	0
7	115	0
8	226	1
9	108	0
10	108	0
11	115	0
12	109	0
13	115	0
14	109	0
15	109	0
16	102	0
17	99	0
18	203	1
19	96	0
20	101	0
21	97	0
22	102	0
23	97	0
24	96	0
25	103	0
26	199	1
27	102	0
28	108	0
29	224	1
30	112	0
31	109	0
32	108	0
33	225	1
34	113	0
35	221	1
36	447	3
37	108	0
38	115	0
39	109	0
40	115	0
41	110	0
42	110	0
43	115	0
44	108	0
45	114	0
46	111	0
47	110	0
48	116	0
49	109	0
50	115	0
51	111	0
52	108	0
53	119	0
54	111	0
55	116	0
56	112	0
57	109	0
58	116	0
59	109	0
60	114	0
61	219	1
62	115	0
63	110	0
64	114	0
65	107	0
66	111	0
67	118	0
68	106	0
69	225	1
70	108	0
71	116	0
72	108	0
73	114	0
74	218	1
75	114	0
76	108	0
77	116	0
78	108	0
79	109	0
80	115	0
81	108	0
82	226	1
83	107	0
84	115	0
85	324	2
86	295	2
87	102	0
88	96	0
89	97	0
90	198	1
91	103	0
92	98	0
93	96	0
94	200	1
95	209	1
96	100	0
97	102	0
98	300	2
99	100	0
100	205	1
101	103	0
102	96	0
103	99	0
104	206	1
105	101	0
106	98	0
107	98	0
108	203	1
109	105	0
110	95	0
111	97	0
112	103	0
113	97	0
114	103	0
115	197	1
116	104	0
117	97	0
118	103	0
119	194	1
120	103	0
121	97	0
122	104	0
123	108	0
124	110	0
125	116	0
126	112	0
127	230	1
128	111	0
129	114	0
130	110	0
131	119	0
132	111	0
133	108	0
134	225	1
135	114	0
136	109	0
137	332	2
138	117	0
139	107	0
140	109	0
141	115	0
142	108	0
143	227	1
144	99	0
145	104	0
146	97	0
147	105	0
148	100	0
149	205	1
150	96	0
151	101	0
152	99	0
153	96	0
154	102	0
155	97	0
156	101	0
157	197	1
158	102	0
159	100	0
160	103	0
161	97	0
162	97	0
163	305	2
164	195	1
165	102	0
166	99	0
167	103	0
168	99	0
169	96	0
170	102	0
171	101	0
172	103	0
173	96	0
174	199	1
175	96	0
176	104	0
177	103	0
178	98	0
179	199	1
180	296	2
181	104	0
182	98	0
183	105	0
184	96	0
185	97	0
186	301	2
187	197	1
188	110	0
189	223	1
190	106	0
191	106	0
192	115	0
193	107	0
194	115	0
195	108	0
196	109	0
197	115	0
198	109	0
199	113	0
200	109	0
201	226	1
202	106	0
203	114	0
204	107	0
205	108	0
206	113	0
207	107	0
208	113	0
209	110	0
210	224	1
211	110	0
212	223	1
213	109	0
214	223	1
215	112	0
216	109	0
217	109	0
218	303	2
219	98	0
220	98	0
221	103	0
222	97	0
223	102	0
224	98	0
225	198	1
226	99	0
227	102	0
228	98	0
229	199	1
230	211	1
231	111	0
232	108	0
233	114	0
234	108	0
235	113	0
236	109	0
237	111	0
238	558	4
239	113	0
240	128	0
241	116	0
242	109	0
243	223	1
244	223	1
245	107	0
246	108	0
247	116	0
248	109	0
249	117	0
250	107	0
251	109	0
252	223	1
253	115	0
